100 400
60 62 3 
41 33 10 
17 27 9 
32 47 10 
38 46 14 
84 83 6 
60 45 2 
91 5 20 
54 81 16 
46 79 5 
1 41 9 
29 55 15 
35 29 12 
14 88 11 
48 32 11 
38 13 8 
8 64 7 
30 54 12 
56 63 13 
32 4 19 
84 37 19 
41 16 5 
10 73 17 
87 75 8 
96 91 5 
88 86 19 
57 3 14 
17 20 19 
68 9 2 
11 95 15 
36 98 15 
67 85 17 
46 19 17 
23 57 6 
76 52 9 
21 31 2 
35 90 19 
16 28 15 
41 82 17 
98 4 17 
28 42 18 
16 80 19 
12 96 7 
38 8 3 
19 99 5 
96 77 1 
59 53 4 
15 76 3 
14 37 9 
15 16 20 
8 89 19 
37 68 19 
35 13 7 
56 24 18 
46 91 18 
26 82 1 
39 20 9 
75 1 19 
47 37 8 
23 18 13 
78 39 20 
33 81 9 
3 27 2 
78 14 8 
90 45 13 
49 50 12 
49 65 1 
1 96 5 
32 44 16 
69 3 16 
83 78 7 
12 68 19 
74 99 16 
24 82 17 
95 8 19 
89 19 6 
11 73 18 
82 63 17 
55 10 5 
11 74 20 
1 32 7 
58 45 18 
15 37 16 
73 63 12 
83 98 14 
95 41 17 
30 81 1 
31 8 17 
1 75 15 
22 54 14 
70 61 3 
55 57 5 
79 57 9 
10 99 20 
39 36 13 
45 35 17 
8 51 15 
20 29 10 
95 79 18 
47 94 5 
60 93 12 
27 30 20 
80 87 17 
45 15 18 
54 83 8 
12 97 6 
43 44 19 
55 8 12 
72 51 19 
82 56 4 
63 18 6 
54 43 14 
49 85 9 
31 56 11 
66 3 8 
12 35 9 
90 8 12 
36 32 11 
45 17 7 
11 34 12 
68 40 11 
41 78 12 
47 4 4 
58 68 17 
40 45 7 
82 1 8 
89 12 11 
12 1 19 
92 12 12 
4 54 10 
11 48 7 
33 94 2 
81 51 8 
21 54 5 
43 16 15 
90 80 10 
49 39 17 
43 90 3 
96 18 7 
75 38 4 
100 51 2 
100 14 4 
65 60 5 
7 61 1 
24 6 9 
14 21 19 
16 27 2 
10 96 2 
20 59 3 
5 61 13 
99 39 20 
59 22 3 
27 86 18 
15 96 11 
63 92 6 
24 98 18 
38 48 3 
88 45 20 
36 13 2 
74 75 12 
4 87 5 
40 86 7 
76 42 18 
82 47 1 
29 13 7 
19 60 16 
73 82 18 
83 78 10 
97 39 17 
55 27 3 
68 56 2 
86 1 9 
94 83 18 
34 69 13 
17 52 11 
72 21 15 
8 43 18 
46 8 8 
60 100 8 
41 25 1 
9 17 10 
93 7 12 
22 31 12 
80 85 18 
1 16 19 
70 86 5 
53 73 11 
8 7 18 
93 62 13 
14 46 15 
55 1 6 
7 14 2 
67 56 6 
62 34 5 
37 62 5 
78 1 19 
42 30 8 
18 66 1 
60 92 20 
72 61 8 
78 27 16 
15 72 2 
7 52 16 
60 32 4 
39 93 18 
41 9 10 
32 67 18 
31 97 10 
95 7 14 
18 38 20 
77 16 2 
12 68 8 
24 54 12 
2 34 10 
99 44 11 
76 62 14 
63 70 20 
34 59 18 
91 41 9 
54 69 18 
58 17 8 
29 74 16 
63 36 6 
